kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
10797460,CONFIRMED,9.48803557,2.26,793.0,1.0,5455.0,0.927,93.59,G,1,64.90279209608823
10797460,CONFIRMED,54.4183827,2.83,443.0,0.969,5455.0,0.927,9.11,G,1,16.075450180550845
10811496,CANDIDATE,19.89913995,14.6,638.0,0.0,5853.0,0.868,39.3,G,0,244.06582456343799
10848459,FALSE POSITIVE,1.736952453,33.46,1395.0,0.0,5805.0,0.791,891.96,G,0,2796.104171770325
10854555,CONFIRMED,2.525591777,2.75,1406.0,1.0,6031.0,1.046,926.16,F,1,238.8747086897092
10872983,CONFIRMED,11.09432054,3.9,835.0,1.0,6046.0,0.972,114.81,F,1,136.78169785420675
10872983,CONFIRMED,4.13443512,2.77,1160.0,1.0,6046.0,0.972,427.65,F,1,165.92351314972382
10872983,CONFIRMED,2.56658897,1.59,1360.0,0.992,6046.0,0.972,807.74,F,1,88.249424682909
6721123,FALSE POSITIVE,7.36178958,39.21,1342.0,0.0,6227.0,1.958,767.22,F,0,31.74499861214452
10910878,CONFIRMED,16.06864674,5.76,600.0,1.0,5031.0,0.848,30.75,K,1,302.24698312086986
11446443,CONFIRMED,2.470613377,13.04,1339.0,0.811,5820.0,0.964,761.46,G,1,1965.7871382115488
10666592,CONFIRMED,2.204735417,16.1,2048.0,1.0,6440.0,1.952,3158.4199999999996,F,1,2202.8493589532604
6922244,CONFIRMED,3.522498429,14.59,1521.0,0.998,6225.0,1.451,1264.67,F,1,1378.76569653397
10984090,CONFIRMED,3.709214104,1.16,1206.0,1.0,5833.0,1.022,500.46,G,1,35.344414294829285
10419211,FALSE POSITIVE,11.521446064,48.03,753.0,0.0,5795.0,0.848,75.88,G,0,421.53562782151823
10464078,FALSE POSITIVE,19.40393776,7.18,523.0,0.0,5043.0,0.68,17.69,K,0,250.29455670651458
10480982,FALSE POSITIVE,19.221388942,48.03,698.0,0.0,6117.0,0.947,55.97,F,0,252.67164691661748
10485250,FALSE POSITIVE,16.46983774,7.94,595.0,0.0,5152.0,0.786,29.61,K,0,294.88450807287677
10526549,CONFIRMED,9.27358173,2.47,649.0,1.0,4856.0,0.696,41.85,K,1,138.92151247584894
10583066,CONFIRMED,6.02930329,2.85,678.0,1.0,4537.0,0.672,50.04,K,1,317.2340000166089
10583180,FALSE POSITIVE,2.696370652,1.58,1066.0,0.0,4989.0,0.819,305.34,K,0,147.56873269810384
10601284,CONFIRMED,5.349553819,2.55,919.0,1.0,5185.0,0.91,168.99,K,1,155.34005790324773
10601284,CONFIRMED,3.94105221,1.7,1018.0,0.98,5185.0,0.91,253.15,K,1,92.18350345071931
10601284,CONFIRMED,8.10904807,1.3,800.0,0.971,5185.0,0.91,97.03,K,1,26.809558671169647
2306756,FALSE POSITIVE,154.608014,41.5,297.0,0.0,5543.0,1.58,1.84,G,0,31.4129900148643
10662202,CONFIRMED,21.67699193,2.95,530.0,1.0,4954.0,0.828,18.64,K,1,39.54423209493717
