pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_logg,st_met,sy_dist,ra,dec,planet_type,habitable_zone,stellar_class,disc_decade,mass_radius_ratio
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station,122.6058548,12.2,711.74876796,823.0,0.8984999999999999,100.0,4874.0,2.9126400000000006,2.0180000000000002,2.45,-0.26,93.1846,185.1787793,17.7932516,Gas Giant,0.0,K,2000.0,58.340062947540986
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,122.6058548,12.3,711.74876796,823.0,0.8984999999999999,100.0,4213.0,2.9126400000000006,2.0180000000000002,1.93,-0.02,125.321,229.2745954,71.8239428,Gas Giant,0.0,K,2000.0,57.86575349268293
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory,122.6058548,13.1,711.74876796,823.0,0.775,100.0,4888.0,2.9126400000000006,1.78,2.55,-0.21,75.4392,352.82415,39.2358367,Gas Giant,0.0,K,2000.0,54.33196701984733
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory,122.6058548,12.5,711.74876796,823.0,0.8984999999999999,100.0,5338.0,0.93,0.97,4.45,0.43,17.9323,242.6021014,43.8163621,Gas Giant,0.0,G,2000.0,56.9399014368
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories,122.6058548,13.5,565.7374,823.0,0.8984999999999999,100.0,5750.0,1.13,1.08,4.36,0.06,21.1397,295.4656422,50.5168243,Gas Giant,0.0,G,1990.0,41.906474074074076
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory,122.6058548,12.9,711.74876796,823.0,0.8984999999999999,100.0,4157.0,2.9126400000000006,1.22,1.7,-0.01,124.953,243.4620874,-11.8377905,Gas Giant,0.0,K,2020.0,55.17432309767442
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory,122.6058548,12.5,711.74876796,823.0,0.8984999999999999,100.0,4980.0,2.9126400000000006,2.0180000000000002,2.87,-0.06,76.222,314.6078375,10.8391378,Gas Giant,0.0,K,2000.0,56.9399014368
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory,10.67607169,18.647,711.74876796,1700.0,0.8984999999999999,100.0,4060.0,1.31316,0.85,3.99592,0.016687125907561565,139.135,242.3762343,-21.0831403,Gas Giant,0.0,K,2000.0,38.169612696948576
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,13.9,280.64248338,823.0,0.194,100.0,4816.0,2.9126400000000006,1.05,2.28,-0.78,95.9863,217.1555242,49.8446488,Gas Giant,0.0,K,2010.0,20.19010671798561
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory,122.6058548,13.4,632.46,823.0,0.8984999999999999,100.0,5098.0,2.9126400000000006,1.54,3.5,-0.03,72.0691,155.8684866,-0.9023998,Gas Giant,0.0,K,2010.0,47.19850746268657
